"","Rank","feature","Top50"
"1",1,0,1
"2",2,0,1
"3",4,0,1
"4",5,0,1
"5",6,0,1
"6",7,0,1
"7",8,0,1
"8",9,0,1
"9",10,0,1
"10",11,0,1
"11",12,0,1
"12",13,0,1
"13",14,0,1
"14",15,0,1
"15",16,0,1
"16",17,0,1
"17",19,0,1
"18",20,0,1
"19",21,0,1
"20",22,0,1
"21",23,0,1
"22",24,0,1
"23",25,0,1
"24",26,0,1
"25",27,0,1
"26",28,0,1
"27",29,0,1
"28",30,0,1
"29",31,0,1
"30",32,0,1
"31",33,0,1
"32",34,0,1
"33",35,0,1
"34",36,0,1
"35",37,0,1
"36",38,0,1
"37",39,0,1
"38",40,0,1
"39",41,0,1
"40",43,0,1
"41",44,0,1
"42",47,0,1
"43",48,0,1
"44",49,0,1
"45",50,0,1
"46",51,0,0
"47",52,0,0
"48",53,0,0
"49",54,0,0
"50",55,0,0
"51",56,0,0
"52",57,0,0
"53",58,0,0
"54",59,0,0
"55",60,0,0
"56",61,0,0
"57",62,0,0
"58",63,0,0
"59",64,0,0
"60",65,0,0
"61",66,0,0
"62",67,0,0
"63",68,0,0
"64",69,0,0
"65",70,0,0
"66",71,0,0
"67",72,0,0
"68",73,0,0
"69",74,0,0
"70",75,0,0
"71",76,0,0
"72",77,0,0
"73",78,0,0
"74",79,0,0
"75",80,0,0
"76",81,0,0
"77",82,0,0
"78",83,0,0
"79",85,0,0
"80",86,0,0
"81",87,0,0
"82",88,0,0
"83",89,0,0
"84",90,0,0
"85",91,0,0
"86",92,0,0
"87",93,0,0
"88",94,0,0
"89",95,0,0
"90",96,0,0
"91",98,0,0
"92",99,0,0
"93",100,0,0
"94",2,0,1
"95",3,0,1
"96",4,0,1
"97",5,0,1
"98",6,0,1
"99",7,0,1
"100",8,0,1
"101",9,0,1
"102",10,0,1
"103",11,0,1
"104",12,0,1
"105",13,0,1
"106",14,0,1
"107",15,0,1
"108",16,0,1
"109",17,0,1
"110",18,0,1
"111",19,0,1
"112",20,0,1
"113",21,0,1
"114",22,0,1
"115",23,0,1
"116",24,0,1
"117",25,0,1
"118",26,0,1
"119",27,0,1
"120",28,0,1
"121",29,0,1
"122",30,0,1
"123",31,0,1
"124",33,0,1
"125",34,0,1
"126",35,0,1
"127",36,0,1
"128",37,0,1
"129",38,0,1
"130",39,0,1
"131",40,0,1
"132",41,0,1
"133",42,0,1
"134",43,0,1
"135",44,0,1
"136",45,0,1
"137",46,0,1
"138",47,0,1
"139",48,0,1
"140",49,0,1
"141",50,0,1
"142",51,0,0
"143",52,0,0
"144",53,0,0
"145",54,0,0
"146",55,0,0
"147",56,0,0
"148",57,0,0
"149",58,0,0
"150",59,0,0
"151",60,0,0
"152",61,0,0
"153",62,0,0
"154",63,0,0
"155",64,0,0
"156",65,0,0
"157",67,0,0
"158",68,0,0
"159",69,0,0
"160",70,0,0
"161",71,0,0
"162",72,0,0
"163",73,0,0
"164",74,0,0
"165",75,0,0
"166",76,0,0
"167",77,0,0
"168",79,0,0
"169",81,0,0
"170",82,0,0
"171",83,0,0
"172",84,0,0
"173",85,0,0
"174",86,0,0
"175",87,0,0
"176",88,0,0
"177",89,0,0
"178",90,0,0
"179",91,0,0
"180",92,0,0
"181",94,0,0
"182",95,0,0
"183",96,0,0
"184",97,0,0
"185",99,0,0
"186",1,0,1
"187",2,0,1
"188",3,0,1
"189",4,0,1
"190",5,0,1
"191",6,0,1
"192",7,0,1
"193",8,0,1
"194",9,0,1
"195",10,0,1
"196",11,0,1
"197",12,0,1
"198",13,0,1
"199",14,0,1
"200",15,0,1
"201",17,0,1
"202",18,0,1
"203",19,0,1
"204",20,0,1
"205",21,0,1
"206",22,0,1
"207",23,0,1
"208",24,0,1
"209",25,0,1
"210",26,0,1
"211",27,0,1
"212",28,0,1
"213",29,0,1
"214",30,0,1
"215",31,0,1
"216",32,0,1
"217",33,0,1
"218",34,0,1
"219",35,0,1
"220",36,0,1
"221",37,0,1
"222",38,0,1
"223",39,0,1
"224",40,0,1
"225",41,0,1
"226",42,0,1
"227",43,0,1
"228",44,0,1
"229",45,0,1
"230",46,0,1
"231",47,0,1
"232",48,0,1
"233",49,0,1
"234",50,0,1
"235",51,0,0
"236",52,0,0
"237",53,0,0
"238",54,0,0
"239",55,0,0
"240",56,0,0
"241",57,0,0
"242",58,0,0
"243",59,0,0
"244",60,0,0
"245",61,0,0
"246",62,0,0
"247",63,0,0
"248",64,0,0
"249",65,0,0
"250",66,0,0
"251",68,0,0
"252",69,0,0
"253",70,0,0
"254",71,0,0
"255",73,0,0
"256",74,0,0
"257",75,0,0
"258",76,0,0
"259",77,0,0
"260",78,0,0
"261",79,0,0
"262",80,0,0
"263",81,0,0
"264",82,0,0
"265",83,0,0
"266",84,0,0
"267",85,0,0
"268",87,0,0
"269",88,0,0
"270",89,0,0
"271",90,0,0
"272",91,0,0
"273",93,0,0
"274",94,0,0
"275",95,0,0
"276",96,0,0
"277",97,0,0
"278",98,0,0
"279",99,0,0
"280",1,0,1
"281",3,0,1
"282",4,0,1
"283",5,0,1
"284",6,0,1
"285",7,0,1
"286",8,0,1
"287",9,0,1
"288",10,0,1
"289",11,0,1
"290",12,0,1
"291",13,0,1
"292",14,0,1
"293",15,0,1
"294",16,0,1
"295",17,0,1
"296",18,0,1
"297",19,0,1
"298",20,0,1
"299",22,0,1
"300",24,0,1
"301",25,0,1
"302",26,0,1
"303",27,0,1
"304",28,0,1
"305",29,0,1
"306",30,0,1
"307",31,0,1
"308",32,0,1
"309",33,0,1
"310",34,0,1
"311",35,0,1
"312",36,0,1
"313",37,0,1
"314",38,0,1
"315",39,0,1
"316",40,0,1
"317",41,0,1
"318",42,0,1
"319",44,0,1
"320",46,0,1
"321",47,0,1
"322",48,0,1
"323",49,0,1
"324",50,0,1
"325",51,0,0
"326",52,0,0
"327",53,0,0
"328",54,0,0
"329",55,0,0
"330",56,0,0
